,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b3867,10.11,17.11,18.33,23.58,3.93,3.37,2.79,9.47,13.73,17.21,10.7,12.42,23.45,40.66,19.57,3.35,28.02,5.59,16.7,6.29,15.6,25.51
b2574,77.31,2.62,14.87,78.21,9.26,7.24,7.23,2.42,30.03,18.27,33.33,25.36,12.33,20.7,19.91,55.55,1.89,16.28,13.66,26.61,7.56,4.25
b1709,,,,,,,,,,,,,,,,,,,,,,
b0785,2.06,8.74,9.28,15.66,12.53,2.24,8.03,15.54,11.17,3.65,18.06,1.95,5.15,5.87,9.01,13.39,5.01,18.15,7.89,10.25,8.75,2.79
b0852,,,,,,,,,,,,,,,,,,,,,,
b4088,7.57,32.03,75.43,31.32,10.99,14.54,14.56,34.28,8.78,14.59,16.8,10.95,67.61,69.6,63.83,103.66,35.94,82.94,15.84,29.5,23.07,23.01
b3748,4.09,7.73,19.61,24.29,11.71,8.69,4.67,4.71,7.68,1.54,7.72,11.23,9.49,19.36,19.67,23.82,16.8,41.63,6.37,11.82,6.38,8.89
b3386,,,,,,,,,,,,,,,,,,,,,,
b3523,13.2,8.77,21.4,9.16,5.21,9.58,13.88,25.46,17.64,6.47,15.04,8.5,56.31,61.58,11.87,29.76,13.58,13.98,16.49,4.28,22.08,9.69
b2548,,,,,,,,,,,,,,,,,,,,,,
b4238,13.82,6.5,15.75,8.25,16.96,19.89,11.81,27.05,13.19,9.51,7.05,5.16,73.32,57.49,29.18,27.18,27.97,23.31,15.08,4.03,28.99,3.8
b2393,31.5,10.31,18.07,39.41,44.54,10.42,24.46,56.69,13.9,22.67,34.25,3.48,4.94,88.78,13.17,55.57,55.4,24.73,26.04,25.69,21.36,36.43
b0523,8.61,1.76,1.2,6.28,2.86,1.98,4.09,2.33,5.38,4.9,7.42,0.74,6.57,4.9,6.59,2.81,4.59,2.84,6.5,7.3,7.05,4.59
b2675,32.58,16.63,21.12,15.59,14.53,11.76,6.41,11.72,39.78,17.39,16.31,29.68,57.54,18.45,25.63,43.07,62.17,24.8,10.94,43.55,30.85,12.78
b1103,4.39,1.6,1.4,3.64,5.08,2.33,3.23,9.48,4.97,8.34,7.75,5.66,9.13,5.82,8.03,5.87,2.02,4.83,12.88,8.95,18.39,2.57
b2559,,,,,,,,,,,,,,,,,,,,,,
b2553,1.8,11.15,21.81,25.57,13.96,8.67,4.59,19.42,7.15,4.77,6.62,4.52,8.41,13.98,27.18,25.55,13.62,8.07,6.87,15.03,10.54,40.24
b1651,9.61,7.49,3.23,12.26,13.86,9.02,15.88,13.84,17.25,11.12,6.19,7.57,26.61,20.11,10.93,32.84,10.48,25.02,4.65,8.66,12.42,7.12
b2026,3.07,5.25,5.39,10.03,11.8,8.79,8.55,12.77,12.25,3.88,10.7,5.84,22.97,8.82,13.58,19.51,9.91,1.83,13.28,2.85,17.99,4.72
b2306,48.25,6.31,21.14,18.58,13.51,17.56,3.82,1.56,3.45,8.84,13.74,4.93,43.36,14.56,11.52,15.34,18.52,13.04,9.04,6.19,8.8,11.37
b2679,9.94,9.2,7.05,7.9,11.72,8.92,5.92,13.35,7.8,5.98,1.56,4.56,49.18,11.52,18.29,26.74,9.78,14.86,0.62,8.11,37.7,8.55
b1302,128.37,34.68,77.96,57.41,39.7,27.51,50.83,57.98,26.21,25.62,12.4,11.47,84.56,115.38,63.97,82.29,98.49,97.55,36.14,10.79,12.54,43.16
b0608,,,,,,,,,,,,,,,,,,,,,,
b0923,8.76,6.32,6.7,14.95,19.83,9.24,16.95,8.49,7.98,4.5,7.34,9.42,11.19,25.6,17.85,36.96,1.3,4.32,17.84,12.35,13.12,17.64
b4209,41.54,29.09,14.25,8.5,20.11,35.48,25.32,25.77,10.07,8.13,11.84,26.73,11.09,16.96,49.31,41.21,4.22,91.56,24.89,41.07,23.54,39.07
b3528,31.6,13.96,15.57,27.75,4.78,28.5,25.56,24.22,8.39,44.1,23.56,24.0,18.11,76.29,3.73,70.83,23.7,23.34,28.65,2.42,18.92,9.34
b3924,19.59,3.26,25.92,10.78,18.56,18.37,2.42,12.53,8.75,11.16,3.09,9.78,63.31,1.22,18.25,5.6,7.62,22.1,16.19,13.04,10.34,15.16
b3355,28.79,4.5,29.98,15.78,15.72,1.8,9.49,30.31,1.37,4.46,5.23,4.83,25.35,35.63,21.79,24.78,21.98,7.87,7.47,18.97,10.95,0.59
b1765,10.33,1.66,10.35,17.84,9.54,2.64,12.78,17.1,5.08,1.64,6.61,10.11,5.98,10.98,1.53,8.88,14.31,6.72,4.34,6.41,10.94,5.43
b3850,22.35,14.96,13.33,10.76,8.29,32.83,14.76,25.07,8.67,2.42,1.41,42.6,31.31,8.88,17.82,9.03,20.83,3.3,18.34,15.07,9.65,19.0
b3551,27.51,11.35,16.06,15.04,12.31,24.17,8.98,14.28,28.35,23.87,17.23,10.94,52.59,22.57,25.68,4.42,16.2,19.46,16.19,28.5,2.82,21.79
b0894,10.6,15.02,42.84,37.51,22.78,21.41,22.43,36.96,42.22,112.68,44.65,19.7,16.25,37.27,37.23,23.74,15.95,35.45,37.22,50.8,37.02,25.78
b4153,16.44,31.79,23.18,6.14,8.57,10.1,7.4,25.26,31.86,21.66,18.18,6.12,38.2,23.61,23.65,39.69,14.37,3.11,29.21,0.66,8.85,40.59
b3594,,,,,,,,,,,,,,,,,,,,,,
b3049,,,,,,,,,,,,,,,,,,,,,,
b0460,50.44,4.38,6.69,8.35,6.88,48.66,19.68,21.25,19.85,20.48,69.48,20.9,21.66,33.9,19.47,42.96,17.79,15.36,12.6,91.09,57.64,13.8
b1178,27.29,9.24,7.32,5.48,17.97,9.96,5.04,7.46,41.5,26.18,7.08,14.45,8.11,9.9,21.76,17.39,18.79,5.93,5.35,7.11,18.94,18.25
b0196,7.8,3.18,9.09,6.01,6.78,14.61,13.13,15.13,8.86,6.27,4.12,12.13,15.7,8.65,16.29,18.89,1.94,3.01,7.99,6.96,1.08,15.65
b0821,24.28,18.34,20.97,12.02,40.02,12.25,3.64,9.35,5.81,8.13,19.81,16.92,30.25,65.77,19.5,117.06,10.81,16.68,9.14,17.21,12.32,21.16
b1446,9.42,3.2,10.5,8.64,5.51,18.79,7.75,14.8,17.05,3.76,11.02,10.19,38.89,62.21,14.74,18.73,66.85,12.4,10.33,11.49,5.44,11.1
b4537,19.28,7.75,9.76,30.49,14.07,18.3,10.33,21.45,10.74,8.38,16.56,18.32,12.36,35.68,36.31,73.34,12.85,33.61,27.12,70.22,25.22,10.27
b2958,10.15,7.17,14.65,11.79,12.34,11.47,2.77,10.6,22.03,9.17,6.97,6.07,24.38,27.69,7.81,21.29,7.91,22.29,15.53,10.8,17.91,3.75
b3602,13.91,9.77,11.51,20.37,10.48,14.69,5.47,1.74,4.65,18.39,13.18,4.69,20.63,7.8,4.24,26.69,3.15,3.68,4.78,14.98,14.7,16.01
b3398,14.29,9.09,6.37,19.14,19.72,10.43,7.67,50.88,9.55,8.89,24.87,4.22,28.99,20.28,17.72,13.43,18.03,18.8,20.89,12.12,14.09,17.71
b3955,19.33,17.1,24.54,20.76,11.85,25.59,22.82,50.91,23.83,20.26,16.38,9.85,31.47,74.85,32.31,41.69,30.95,22.19,15.37,15.67,2.16,17.54
b3787,14.74,6.25,5.21,11.45,8.83,4.29,14.82,4.78,18.09,11.19,31.58,22.18,39.55,18.76,5.83,45.92,10.36,20.34,2.66,20.91,16.78,14.11
b1291,,,,,,,,,,,,,,,,,,,,,,
b0737,30.26,3.78,27.24,17.55,9.62,7.19,2.23,5.56,11.01,5.01,6.59,7.49,24.31,19.62,11.04,3.51,13.26,1.92,12.21,11.34,10.25,22.23
b3911,24.48,0.45,26.77,9.95,15.92,3.37,5.04,15.14,6.62,2.3,10.47,12.95,21.26,9.75,28.09,7.1,7.12,46.28,10.55,5.42,20.96,14.86
b1334,24.75,10.26,4.19,13.71,10.12,12.54,16.79,13.17,7.78,3.37,8.27,8.56,66.83,27.64,24.99,47.04,2.83,4.93,7.97,4.63,4.71,2.83
b1490,43.93,11.38,25.38,29.46,29.88,8.8,21.91,48.8,2.53,10.65,18.74,15.84,5.4,14.7,33.66,122.56,8.58,20.6,10.06,25.28,33.73,11.79
b2369,31.18,18.99,18.78,15.83,27.67,17.07,27.63,30.08,33.94,31.17,41.22,15.58,71.36,16.62,10.09,48.95,6.52,7.54,70.14,17.42,45.19,4.75
b1914,24.3,10.67,0.79,16.3,18.56,31.14,4.92,21.7,14.39,3.32,19.87,13.92,100.35,20.91,23.65,26.77,10.88,7.35,14.84,16.05,4.77,5.07
b1990,12.22,7.22,5.21,8.83,8.77,6.4,3.0,2.36,14.38,8.14,6.49,4.77,19.42,4.62,19.34,8.18,15.36,20.73,4.87,16.18,14.87,19.26
b2528,28.32,1.25,7.73,11.13,7.25,13.34,8.3,6.08,1.32,14.72,13.58,9.13,60.65,46.86,16.23,42.42,9.75,1.4,17.12,12.79,16.14,4.79
b0287,10.41,9.13,12.17,10.48,5.1,14.75,1.08,36.53,4.35,9.83,10.02,3.05,23.15,45.28,36.07,32.57,7.93,60.92,1.09,30.05,16.41,23.41
b0453,74.83,11.7,4.89,15.33,4.62,6.77,8.24,11.86,26.22,11.59,13.84,4.56,5.16,11.17,14.87,3.9,5.66,11.16,4.56,18.43,18.28,10.78
b0528,1.96,3.12,18.14,7.07,7.96,23.86,10.76,5.82,0.66,2.39,10.94,4.64,38.12,1.95,12.23,25.12,21.07,4.67,7.75,14.66,17.06,11.05
b0631,12.38,4.48,14.86,21.11,20.19,25.95,27.35,35.36,14.36,16.84,9.27,13.46,9.9,24.52,24.2,43.02,15.11,5.87,10.87,4.64,8.29,13.86
b1251,15.76,2.61,8.3,5.77,5.73,6.01,2.55,15.02,7.03,4.85,4.01,2.26,6.6,1.43,10.64,12.43,8.73,10.96,6.52,5.23,11.38,5.52
b1792,33.05,9.32,9.89,8.58,13.71,2.11,28.81,37.87,20.94,13.88,3.21,33.86,16.78,23.37,19.01,27.67,42.29,15.57,9.37,16.02,28.37,19.25
b1875,20.82,1.36,6.6,3.98,14.88,4.67,4.93,14.03,4.48,3.45,19.68,3.7,25.5,14.41,11.88,33.76,20.19,6.39,9.73,5.87,15.34,7.29
b2124,34.33,12.84,84.25,12.8,18.56,38.44,21.11,13.03,22.29,8.43,41.25,30.05,19.32,21.6,31.26,136.59,43.02,29.26,26.93,21.95,25.11,8.41
b0404,,,,,,,,,,,,,,,,,,,,,,
b1733,,,,,,,,,,,,,,,,,,,,,,
b4045,70.42,20.2,25.01,9.61,4.46,11.03,5.35,17.82,15.79,7.59,9.52,7.78,11.45,15.41,16.32,14.2,6.86,22.37,10.91,21.47,32.2,12.24
b4057,8.21,8.52,4.16,7.78,19.87,21.2,4.15,27.84,4.71,10.06,14.14,6.26,17.41,9.38,10.09,2.73,12.02,3.54,2.44,17.34,11.3,5.71
b3098,55.86,6.0,11.76,9.98,15.54,14.79,23.84,11.6,4.69,6.21,15.31,2.57,22.2,20.7,26.28,18.63,6.22,8.67,18.99,4.11,20.16,10.81
b1287,77.34,2.58,5.46,23.32,12.11,29.07,13.32,2.49,3.83,14.4,20.35,8.41,46.01,31.34,22.43,22.59,11.08,27.29,17.69,15.03,14.59,11.95
b2897,,,,,,,,,,,,,,,,,,,,,,
b2910,7.74,5.44,9.38,10.13,14.55,12.91,4.78,5.75,12.27,7.46,0.95,6.02,18.66,16.56,10.57,13.17,12.17,4.03,2.09,12.05,3.41,5.67
b3385,7.57,2.44,9.26,13.63,12.9,12.94,2.38,7.19,11.41,5.88,15.19,4.47,26.11,13.98,19.17,29.51,4.41,2.22,8.33,5.64,5.63,3.05
b0223,45.35,7.77,9.27,10.18,8.15,8.05,9.22,18.55,5.55,4.89,14.81,5.72,8.82,16.71,12.12,17.37,11.82,4.4,8.7,8.33,11.78,6.77
b1035,15.31,2.34,21.3,6.7,7.31,4.07,5.12,10.1,9.47,3.99,15.03,5.53,20.65,19.97,21.92,53.13,2.57,14.54,11.41,48.96,13.4,6.99
b1537,47.76,38.08,90.85,10.46,5.71,13.21,32.4,49.32,43.81,3.41,5.26,3.88,16.75,19.24,44.3,76.71,18.24,20.91,45.98,46.12,51.87,38.14
b1624,24.34,36.25,75.34,7.2,2.7,8.51,14.74,5.04,8.66,12.78,15.14,13.35,101.2,5.85,26.14,25.91,11.78,23.74,5.98,14.04,21.14,5.35
b1955,64.25,5.11,30.16,9.35,13.58,17.67,26.44,21.63,28.31,25.54,14.86,9.42,28.75,32.96,35.05,52.86,16.26,18.41,10.63,23.74,28.81,7.41
b3156,19.24,17.37,11.72,2.77,19.72,13.77,7.35,11.22,8.47,5.24,10.11,11.22,34.48,40.11,22.62,16.46,13.41,1.78,13.31,18.65,11.28,2.66
b2811,11.63,18.32,10.66,13.32,8.88,11.96,4.42,17.99,6.47,14.83,1.87,11.53,56.69,1.04,13.93,11.82,11.62,22.24,5.4,14.49,10.44,4.63
b0212,32.12,13.81,1.62,9.05,11.57,22.24,7.31,28.03,9.75,6.05,18.21,1.07,6.51,25.49,10.81,39.47,8.25,2.94,3.29,8.73,16.96,9.53
b0146,,,,,,,,,,,,,,,,,,,,,,
b4216,9.15,42.4,10.07,25.61,22.08,9.05,14.56,19.09,24.11,9.54,14.48,0.99,15.39,48.13,35.64,41.53,22.56,15.39,12.44,8.76,22.84,35.81
b3492,,,,,,,,,,,,,,,,,,,,,,
b4078,,,,,,,,,,,,,,,,,,,,,,
b2700,10.62,3.95,6.04,26.68,15.95,10.5,8.58,46.03,10.9,6.22,3.03,14.05,2.49,19.46,36.75,37.18,8.27,23.51,18.2,30.13,52.14,11.93
b1867,36.05,8.54,21.15,20.72,20.93,24.38,8.1,6.39,33.02,36.97,22.51,41.47,40.04,40.36,68.13,44.64,17.17,63.72,1.33,42.58,24.4,34.13
b1686,1.41,6.75,11.48,4.87,17.07,10.01,5.53,21.89,16.72,13.18,12.41,6.6,16.91,35.07,12.73,19.46,9.37,14.47,2.4,5.94,17.98,7.47
b3820,11.87,8.53,23.67,1.8,13.69,1.03,6.37,8.6,9.82,18.81,24.97,28.76,79.64,6.05,11.77,22.23,5.33,12.87,10.82,7.56,1.3,5.99
b1874,10.12,8.69,35.86,3.46,2.45,14.74,10.01,10.74,4.42,12.74,1.41,8.68,127.87,4.01,27.91,11.71,55.81,39.48,95.56,39.58,76.94,62.54
b4290,,,,,,,,,,,,,,,,,,,,,,
b0765,39.95,23.33,24.05,39.0,35.1,29.56,10.18,45.52,99.22,3.57,15.44,5.95,53.95,12.02,41.78,89.62,11.64,23.01,31.26,13.51,50.52,52.11
b1219,23.87,38.38,28.71,11.5,19.26,25.1,44.09,13.7,24.05,5.46,19.98,10.02,15.01,7.27,11.04,70.79,17.19,5.25,6.04,9.6,17.45,35.69
b3290,40.8,3.84,29.62,20.24,23.78,23.7,26.99,47.56,16.76,26.07,18.13,24.06,13.81,32.8,3.24,66.78,8.09,6.83,30.46,9.01,22.51,8.38
b1495,,,,,,,,,,,,,,,,,,,,,,
b4287,,,,,,,,,,,,,,,,,,,,,,
b4046,42.85,13.8,13.86,11.98,14.36,30.3,19.28,7.47,5.5,18.81,3.63,11.86,23.68,17.38,55.1,32.66,6.14,2.83,3.99,7.35,34.66,20.12
b0604,3.83,2.0,16.15,11.17,7.7,7.25,13.01,4.51,8.93,10.28,4.26,11.62,3.73,8.25,7.47,10.16,1.07,4.92,17.29,6.62,4.04,10.13
b1829,4.7,10.89,4.81,2.46,15.31,9.49,7.56,16.44,12.3,6.18,9.08,6.59,11.57,30.41,21.78,29.05,37.85,14.88,29.19,14.24,9.51,24.08
b3686,23.08,11.93,5.09,13.75,47.63,26.71,26.54,35.46,7.71,28.32,18.73,36.56,39.12,85.15,17.71,25.95,29.96,37.26,32.05,27.33,6.11,16.59
b0028,23.69,22.92,14.52,11.01,2.6,5.48,19.63,9.74,12.17,15.04,13.15,4.27,38.1,4.11,11.7,41.1,19.2,4.31,20.74,14.36,30.25,9.53
b4389,19.55,10.48,18.71,32.3,7.3,11.74,17.11,30.24,9.6,8.45,20.61,6.88,77.46,6.24,37.64,29.45,12.85,6.55,24.7,25.32,39.56,7.42
b1807,10.78,5.41,17.27,20.93,5.94,22.62,3.81,12.22,12.33,7.82,9.03,12.29,6.32,15.58,1.88,47.95,6.54,9.86,8.12,13.13,12.04,12.87
b0096,17.44,6.83,7.06,7.32,5.17,6.58,8.55,15.88,5.66,11.81,11.16,2.16,35.95,18.39,7.25,33.69,11.41,5.84,4.55,0.9,20.08,6.7
b3250,17.0,5.95,9.05,17.2,11.7,8.27,7.84,14.29,14.63,7.5,13.33,4.85,22.46,30.44,27.45,14.52,11.88,8.58,7.21,17.53,8.54,23.42
b3291,19.46,5.25,2.2,6.68,6.7,15.8,1.37,14.68,14.38,4.2,10.24,7.12,6.35,10.59,40.97,9.39,7.02,8.87,6.06,5.81,10.84,3.85
b3967,11.67,8.78,20.94,20.22,6.58,20.9,5.16,2.54,16.23,15.03,14.56,5.4,23.97,53.72,2.21,6.84,3.61,6.65,3.44,11.44,12.92,9.28
b0633,12.61,12.53,19.14,10.5,1.5,27.56,17.68,18.82,16.19,12.95,13.82,8.89,31.2,30.31,48.21,19.25,7.89,14.99,16.8,32.89,17.99,12.46
b1806,7.53,8.35,10.49,17.5,16.52,9.89,6.15,3.85,9.13,17.51,3.81,14.05,13.03,4.78,22.8,28.11,11.88,5.86,3.31,13.09,28.82,21.22
b0641,9.05,4.86,6.16,11.5,10.92,6.77,7.8,14.83,10.37,12.11,2.88,3.0,22.92,8.43,25.13,25.12,6.46,2.79,7.54,3.32,6.17,5.84
b4206,11.54,10.49,12.64,4.84,11.46,4.63,14.82,20.96,16.32,1.38,12.69,18.39,16.75,11.9,22.26,38.27,13.13,25.23,15.77,17.63,14.58,20.33
b4211,45.67,37.77,37.01,2.98,18.04,35.09,21.57,33.98,16.69,3.48,8.27,3.02,14.79,15.8,35.22,51.26,57.37,28.56,13.0,6.43,17.38,33.48
b4220,5.19,6.85,15.08,8.55,7.32,6.23,8.04,4.91,11.88,7.36,6.91,13.03,17.45,4.68,16.53,13.35,11.38,19.16,6.71,3.95,8.72,18.1
b0226,21.62,7.93,7.94,23.33,7.23,21.69,5.5,6.09,12.72,8.58,25.42,8.59,33.34,54.08,13.78,47.47,36.22,11.68,21.73,11.69,12.07,7.19
b0440,18.09,2.41,20.51,19.93,22.14,22.35,12.48,14.18,9.93,16.26,4.17,5.83,8.2,16.46,25.9,7.96,31.1,11.38,19.66,25.94,7.51,2.81
b4170,69.25,29.35,39.62,9.54,10.98,16.06,24.49,34.03,9.15,21.1,24.39,10.18,76.7,9.47,38.74,31.11,16.46,17.32,38.96,35.97,14.68,8.25
b3813,14.58,5.33,4.9,8.78,14.96,25.77,10.75,22.87,10.1,7.46,6.4,2.63,33.79,27.62,27.72,11.76,20.87,14.67,20.93,19.63,20.93,14.93
b0422,23.65,8.64,13.68,6.5,31.73,19.25,8.72,26.94,20.01,7.77,22.41,11.34,77.62,13.86,7.49,50.2,10.61,2.25,7.34,13.2,8.04,10.18
b3034,36.25,4.78,5.82,26.61,17.7,16.47,14.85,26.16,18.84,6.77,6.16,15.34,57.15,59.68,27.4,44.04,35.82,10.58,16.58,7.99,28.17,17.69
b1335,,,,,,,,,,,,,,,,,,,,,,
b0797,24.82,13.24,24.48,32.48,3.83,57.22,65.28,40.2,39.99,51.86,48.59,20.41,40.56,31.75,12.43,80.48,71.91,24.19,14.14,102.96,50.77,47.71
b2467,18.31,5.87,9.09,1.01,14.27,5.42,12.53,20.75,5.46,12.76,4.34,10.33,15.71,8.36,7.6,10.92,10.65,7.55,7.37,13.82,5.96,5.18
b1823,11.27,1.77,7.7,7.87,10.46,11.11,2.45,12.65,6.21,4.08,5.69,5.98,9.6,8.16,1.71,6.93,4.9,6.9,4.98,12.67,9.92,1.23
b0880,22.58,5.87,5.75,27.83,4.97,8.45,9.23,13.63,3.09,7.42,32.73,2.66,25.69,17.21,5.76,1.52,16.83,24.09,9.45,14.92,5.98,9.62
b0623,14.48,3.77,13.07,5.23,11.12,6.62,0.14,12.31,4.56,2.96,8.62,11.44,20.3,12.19,6.97,4.53,8.86,6.5,8.25,5.11,8.26,3.53
b2980,20.07,87.63,16.81,2.47,21.04,18.51,70.89,22.92,6.53,3.36,1.89,3.48,48.9,59.39,57.58,57.43,29.39,75.36,23.84,20.35,19.15,68.41
b2289,27.99,6.56,17.28,28.49,0.48,9.74,12.13,54.23,23.51,10.04,10.77,7.56,42.52,33.68,70.89,20.69,45.73,9.91,15.17,22.77,26.99,6.83
b3226,10.54,13.76,61.23,37.48,10.21,41.54,1.77,7.89,10.14,23.73,9.35,15.58,17.61,31.4,10.6,85.49,13.25,17.58,20.11,9.75,18.16,14.83
b3481,12.14,13.41,18.25,9.37,18.11,11.43,3.44,15.42,24.41,9.78,25.12,22.86,23.12,5.37,3.72,8.5,9.32,7.78,17.25,8.74,2.82,11.05
b1399,12.06,26.77,29.56,17.16,8.01,25.96,24.96,31.31,4.11,16.26,13.73,13.79,122.51,25.52,44.98,75.48,34.84,28.22,17.13,15.39,13.32,33.78
b0113,5.97,14.23,18.18,13.89,34.0,22.37,1.41,29.26,11.56,22.61,17.33,44.25,33.43,52.62,5.84,43.91,12.04,20.6,12.1,28.43,25.79,3.15
b2157,7.93,4.28,10.52,12.53,9.15,27.17,13.5,14.89,5.44,8.7,12.28,16.54,54.4,51.1,35.97,27.21,9.01,6.21,16.92,16.56,15.75,17.27
b3131,9.57,7.56,8.43,16.69,17.1,11.61,11.54,9.95,11.63,6.62,9.58,7.11,26.8,69.41,26.28,27.1,20.47,14.21,6.15,7.02,5.93,8.29
b3884,10.75,7.11,7.08,10.49,15.63,16.95,7.94,16.74,6.38,11.93,7.85,11.28,26.01,12.7,36.34,36.96,16.75,11.7,5.84,4.91,5.32,3.43
b3604,,,,,,,,,,,,,,,,,,,,,,
b0730,,,,,,,,,,,,,,,,,,,,,,
b2667,,,,,,,,,,,,,,,,,,,,,,
b3292,,,,,,,,,,,,,,,,,,,,,,
b3056,7.4,4.49,18.17,13.43,12.4,21.78,14.12,13.48,24.25,3.89,13.66,2.86,43.03,15.38,16.88,32.8,13.14,25.75,7.15,20.54,2.79,10.99
b0884,25.38,9.34,15.15,17.28,8.56,10.52,4.75,6.52,6.61,13.2,6.95,5.75,121.62,18.3,15.68,12.25,11.47,14.07,10.54,1.44,12.05,9.27
b1211,2.76,4.96,13.55,9.93,23.44,9.12,14.11,9.22,30.56,4.04,19.28,17.07,32.85,4.86,42.04,21.2,10.86,4.21,25.45,11.38,26.01,46.96
b0611,13.22,6.09,29.0,10.12,22.6,57.75,6.74,18.07,18.66,15.11,9.19,5.95,46.81,32.19,14.01,16.32,8.31,13.3,25.68,7.33,13.89,10.65
b1716,36.23,7.46,20.35,18.75,12.63,17.39,19.59,49.19,10.06,13.88,8.01,7.17,34.89,23.86,22.96,17.55,8.79,5.38,24.3,16.46,10.15,19.49
b3318,16.29,2.72,4.47,1.93,11.64,17.23,8.34,19.68,8.31,12.62,14.56,9.05,7.75,11.48,46.77,11.87,7.4,4.56,15.37,13.2,11.88,10.82
b3185,9.43,4.14,6.31,5.15,6.91,1.9,8.59,3.69,14.25,1.95,5.46,1.71,4.94,13.99,22.17,4.96,6.53,5.59,1.04,8.61,3.5,10.24
b3312,13.15,12.54,10.01,6.98,10.21,1.69,4.44,15.38,6.51,8.41,19.62,2.03,5.62,7.71,31.59,17.64,22.28,7.97,4.22,6.46,11.37,15.22
b1089,25.05,3.0,13.2,7.6,3.31,1.73,9.51,11.46,4.89,11.07,13.81,11.96,6.5,14.38,9.59,17.98,7.25,14.75,7.22,18.42,15.3,7.24
b3636,16.79,2.07,3.04,1.77,3.75,4.75,2.49,12.63,6.1,0.64,10.94,1.32,7.73,5.42,3.7,16.85,7.93,4.79,4.36,5.99,10.23,2.87
b3307,19.4,11.08,10.31,4.46,14.74,20.26,4.92,8.74,2.23,20.29,36.82,3.97,7.79,13.39,4.77,8.38,13.4,10.14,11.51,9.64,11.14,6.35
b3165,17.56,5.03,11.18,20.73,16.82,13.85,10.51,7.92,7.89,7.22,5.23,7.78,19.74,4.65,20.64,12.48,10.55,5.72,12.49,7.05,8.56,13.28
b3311,15.44,20.0,3.17,53.01,19.76,53.58,20.73,24.07,19.82,4.2,8.78,4.38,17.72,4.0,10.27,57.34,8.69,25.0,12.02,11.17,29.18,29.12
b3203,21.93,5.39,5.77,1.41,11.66,4.21,10.63,4.27,11.19,11.82,17.71,7.18,5.33,7.68,15.91,12.0,22.05,11.41,5.84,11.07,11.93,6.75
b1269,28.6,12.53,24.04,16.84,11.88,8.4,17.5,21.78,4.77,9.47,9.92,6.19,25.68,18.72,16.84,5.01,2.61,9.43,21.4,22.6,12.21,13.5
b3289,4.57,9.03,11.85,8.07,9.75,24.04,14.52,20.46,4.75,14.53,11.95,11.2,32.67,22.58,11.49,21.59,27.34,7.65,15.31,15.09,21.3,7.67
b3651,38.11,5.36,34.9,22.96,19.31,8.83,8.6,39.82,44.82,52.32,18.34,35.97,57.65,47.66,66.06,131.61,59.53,102.58,23.37,87.25,45.23,40.28
b1809,22.53,5.56,8.52,10.52,21.92,8.53,8.84,10.9,2.0,6.63,0.56,10.75,31.29,10.77,23.18,86.39,10.84,14.57,16.48,12.73,6.4,7.42
b2747,28.55,14.45,11.77,28.57,19.81,24.74,11.12,12.21,2.41,26.32,35.32,14.62,16.13,13.31,9.43,55.91,2.69,11.32,10.64,39.8,2.18,11.71
b0452,12.85,3.6,5.3,6.59,8.18,5.12,4.1,8.86,10.69,1.37,12.83,8.05,8.61,9.77,25.09,12.66,9.84,13.64,8.06,25.68,10.1,7.74
b1094,13.78,4.8,5.42,7.43,19.02,18.25,3.05,9.72,4.99,12.59,7.51,4.82,18.21,8.13,14.02,9.13,12.11,4.9,4.91,4.72,6.71,0.8
b0036,,,,,,,,,,,,,,,,,,,,,,
b2619,,,,,,,,,,,,,,,,,,,,,,
b0029,11.89,6.27,2.4,5.35,5.25,3.01,9.07,15.79,1.32,10.71,8.79,13.05,47.0,52.52,3.99,21.19,6.81,42.76,7.16,21.42,4.24,8.28
b1249,33.31,2.08,16.25,18.72,22.97,25.05,21.47,83.02,10.53,5.29,41.32,14.41,23.21,8.74,33.44,36.49,48.54,25.86,30.24,17.19,32.39,34.08
b0009,5.57,19.21,3.69,20.01,2.65,38.27,15.01,12.41,5.3,37.83,32.22,5.81,29.61,10.85,7.38,45.27,60.98,2.22,45.72,8.54,34.03,33.41
b2418,10.97,13.11,7.06,55.67,20.04,41.64,24.17,13.99,10.51,6.54,20.79,7.63,19.52,20.79,11.97,77.38,7.7,26.48,3.37,6.91,23.5,2.85
b4039,5.19,19.59,4.42,10.85,16.04,5.39,11.14,7.71,11.9,10.27,9.11,4.2,60.79,10.53,5.01,11.25,8.99,14.53,7.44,9.4,28.51,5.1
b0777,,,,,,,,,,,,,,,,,,,,,,
